iter	AUC	Logloss
0	0.5738770467	0.6619326462
1	0.5882028995	0.6334113112
2	0.6641149676	0.60546034
3	0.6714937448	0.5809954561
4	0.6989722103	0.5576415513
5	0.7200954717	0.5354926655
6	0.7222895045	0.5160385704
7	0.7242714707	0.4977821625
8	0.7422474032	0.4801007603
9	0.7431181431	0.4641831021
10	0.7585768457	0.4486007493
11	0.7588404232	0.4352137351
12	0.7611574794	0.4231496116
13	0.7660298385	0.4111454722
14	0.7711443059	0.3998744696
15	0.7737622404	0.3903640002
16	0.7802518975	0.3808731704
17	0.7760521125	0.3714163202
18	0.7756012584	0.3640655778
19	0.7768037676	0.3570597276
20	0.7774222825	0.350710334
21	0.780012029	0.3435601771
22	0.7803219428	0.337279123
23	0.7803800179	0.332320578
24	0.781302423	0.327454894
25	0.7825552072	0.3219685044
26	0.7849179049	0.3178048119
27	0.7837750926	0.3128669371
28	0.7826413931	0.3089235274
29	0.7829875267	0.3050292561
30	0.7831931062	0.3020051124
31	0.7842834039	0.2984710667
32	0.7844352331	0.2959137812
33	0.7842889642	0.2927473951
34	0.7828736934	0.289632296
35	0.7830489998	0.2863925303
36	0.7821557867	0.2838137178
37	0.7830880769	0.2814993287
38	0.7839459198	0.2798853532
39	0.7859030187	0.2779551039
40	0.7873128836	0.275873378
41	0.7872436878	0.2739684456
42	0.7859589314	0.2719584154
43	0.7847430618	0.2704857186
44	0.7859813273	0.2691631404
45	0.786114313	0.2672978043
46	0.7870398072	0.2659459699
47	0.7860604083	0.2644559374
48	0.7850579955	0.263027297
49	0.7864037617	0.2617627208
50	0.7854600418	0.2607819399
51	0.785929276	0.2598119557
52	0.7858735178	0.2585219908
53	0.7856194393	0.2572482474
54	0.7847880082	0.2561482134
55	0.7854407349	0.2553015615
56	0.7871826781	0.2545963161
57	0.7872262344	0.2534485159
58	0.7873080955	0.2528043888
59	0.7876179322	0.2521880996
60	0.7865423078	0.2515237104
61	0.7863446054	0.2508762594
62	0.7860145351	0.2501460779
63	0.7867258003	0.2492787434
64	0.787448804	0.2487657466
