iter	Passed	Remaining
0	162	651049
1	277	555024
2	395	526662
3	516	515557
4	637	509245
5	761	507190
6	890	507958
7	1019	508700
8	1149	509576
9	1277	509905
10	1408	510947
11	1540	511880
12	1671	512737
13	1802	513115
14	1933	513786
15	2066	514457
16	2200	515510
17	2333	516116
18	2468	517247
19	2604	518312
20	2738	518884
21	2873	519614
22	3008	520125
23	3141	520485
24	3275	520744
25	3406	520699
26	3539	520803
27	3671	520851
28	3804	520987
29	3937	521111
30	4069	521042
31	4200	520875
32	4333	520922
33	4464	520815
34	4595	520599
35	4728	520698
36	4861	520696
37	4994	520725
38	5125	520595
39	5256	520389
40	5387	520178
41	5516	519908
42	5650	520010
43	5779	519629
44	5912	519626
45	6044	519575
46	6175	519439
47	6309	519503
48	6443	519564
49	6573	519306
50	6705	519192
51	6838	519166
52	6973	519351
53	7107	519404
54	7245	519735
55	7377	519617
56	7511	519621
57	7642	519458
58	7776	519428
59	7910	519462
60	8044	519445
61	8176	519348
62	8309	519251
63	8440	519084
64	8572	518993
65	8706	518984
66	8843	519122
67	8975	519012
68	9111	519103
69	9244	519014
70	9375	518824
71	9507	518668
72	9641	518682
73	9773	518538
74	9906	518440
75	10037	518276
76	10170	518185
77	10302	518030
78	10433	517866
79	10567	517797
80	10699	517689
81	10832	517570
82	10965	517477
83	11095	517283
84	11227	517119
85	11357	516888
86	11489	516750
87	11619	516560
88	11752	516428
89	11887	516426
90	12016	516197
91	12145	515918
92	12281	515953
93	12414	515876
94	12545	515673
95	12676	515522
96	12813	515560
97	12943	515372
98	13075	515241
99	13205	515026
100	13335	514802
101	13468	514701
102	13599	514547
103	13729	514332
104	13864	514321
105	13995	514133
106	14126	513963
107	14259	513867
108	14390	513703
109	14520	513489
110	14653	513389
111	14784	513230
112	14919	513196
113	15051	513062
114	15181	512882
115	15313	512738
116	15446	512625
117	15578	512491
118	15712	512441
119	15844	512319
120	15977	512197
121	16110	512109
122	16240	511903
123	16369	511694
124	16504	511646
125	16637	511541
126	16769	511408
127	16902	511300
128	17036	511239
129	17169	511109
130	17303	511049
131	17437	510964
132	17569	510849
133	17701	510701
134	17835	510636
135	17967	510499
136	18101	510403
137	18233	510273
138	18368	510207
139	18500	510074
140	18634	509997
141	18765	509839
142	18901	509805
143	19034	509690
144	19168	509615
145	19302	509529
146	19436	509459
147	19568	509322
148	19700	509182
149	19836	509147
150	19966	508945
151	20098	508797
152	20228	508619
153	20360	508484
154	20493	508364
155	20626	508269
156	20759	508136
157	20890	507976
158	21019	507783
159	21150	507610
160	21284	507530
161	21418	507428
162	21553	507371
163	21684	507215
164	21819	507135
165	21951	506999
166	22085	506899
167	22216	506741
168	22351	506672
169	22482	506520
170	22617	506451
171	22751	506362
172	22884	506229
173	23017	506118
174	23150	505999
175	23283	505887
176	23416	505775
177	23548	505629
178	23682	505526
179	23817	505454
180	23948	505297
181	24084	505239
182	24217	505122
183	24349	504977
184	24481	504838
185	24615	504745
186	24749	504649
187	24885	504599
188	25016	504430
189	25147	504273
190	25279	504138
191	25409	503952
192	25541	503817
